Lv,TreasureBox
1,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|30;2201|30;3100|20;2202|10;2300|10;2301|10;3300|5;3301|5;3303|5;2400|2;2401|2;2402|2
2,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|48;2201|48;3100|32;2202|16;2300|16;2301|16;3300|8;3301|8;3303|8;2400|4;2401|4;2402|4;3110|100
3,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|77;2201|77;3100|52;2202|26;2300|26;2301|26;3300|13;3301|13;3303|13;2400|7;2401|7;2402|7;3111|100
4,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|100;2201|100;3100|84;2202|42;2300|42;2301|42;3300|21;3301|21;3303|21;2400|12;2401|12;2402|12;3201|100
5,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|100;2201|100;3100|100;2202|68;2300|68;2301|68;3300|34;3301|34;3303|34;2400|20;2401|20;2402|20;3202|100
6,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|100;2201|100;3100|100;2202|100;2300|100;2301|100;3300|55;3301|55;3303|55;2400|32;2401|32;2402|32;3309|100
7,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|100;2201|100;3100|100;2202|100;2300|100;2301|100;3300|88;3301|88;3303|88;2400|52;2401|52;2402|52;3310|100
8,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|100;2201|100;3100|100;2202|100;2300|100;2301|100;3300|100;3301|100;3303|100;2400|84;2401|84;2402|84;3403|100
9,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|100;2201|100;3100|100;2202|100;2300|100;2301|100;3300|100;3301|100;3303|100;2400|100;2401|100;2402|100;3404|100
10,2100|100;2105|100;2106|100;2107|100;2108|100;3102|100;3103|100;100|100;101|100;103|100;105|100;106|100;107|100;108|100;200|100;201|100;2200|100;2201|100;3100|100;2202|100;2300|100;2301|100;3300|100;3301|100;3303|100;2400|100;2401|100;2402|100
