id,type,name,desc,price,property,req,needBlueprint,makingType,timeCost,castHp,Tags,skillId
100,3,Wooden Rod,,10,13|18;19|2;21|2,1;1100|1,0,Melee,1,0,Rod|Melee Weapon,0
101,3,Bone Rod,,10,13|18;19|2;21|2,1;2100|1,0,Melee,1,0,Rod|Melee Weapon,0
103,3,Machetes,,100,13|27;19|2;21|1.5,1;1100|1;2200|3,0,Melee,2,0,Blade|Melee Weapon,0
105,3,Lance,,140,13|60;19|4;21|2,1;1100|2;2200|4,0,Melee,2,0,Lance|Melee Weapon,0
106,3,Dagger,,180,13|40;19|2;21|1.5,1;2201|3;2200|3,0,Melee,3,0,Sword|Melee Weapon,0
107,3,Axe,,300,13|72;19|2;21|2,1;2201|5;2200|5,0,Melee,3,0,Axe|Melee Weapon,0
108,3,Mace,,800,13|104;19|3;21|2.2,1;2200|20;2107|20,0,Melee,3,0,Rod|Melee Weapon,0
109,3,Sacrifice,,2450,13|125;19|3;21|2.2,1;2301|20;2200|10;2202|5,0,Melee,5,0,Axe|Melee Weapon,0
110,3,Sword of Justice,,2460,13|94;19|2;21|1.5,,0,none,0,0,Sword|Melee Weapon,0
111,3,Blade of Fear,,2470,13|94;19|2;21|1.5,1;2300|16;2201|24;2202|5,0,Melee,5,0,Blade|Melee Weapon,0
112,3,The Cursed,,2600,13|107;19|2;21|1.5,1;2300|10;2301|10;2202|20,0,Melee,5,0,Sword|Melee Weapon,0
114,3,Dark Angel,,3000,13|120;19|2;21|1.5,,0,none,0,0,Blade|Melee Weapon,0
115,3,Skeleton Sword,,3200,13|160;19|2;21|2,1;2100|120;2301|10;2300|10,0,Melee,5,0,Sword|Melee Weapon,0
116,3,No front sword,,4000,13|160;19|2;21|1.8,1;2300|20;2301|20,0,Melee,5,0,Sword|Melee Weapon,0
117,3,Cold Spear,,11800,13|220;19|4;21|2,1;2300|40;2200|100;2402|12,0,Melee,8,0,Lance|Melee Weapon,0
118,3,Left Hand of Evil,,14400,13|139;19|2;21|1.3,1;2301|60;2201|80;2402|15,0,Melee,8,0,Blade|Melee Weapon,0
119,3,Fury Claws,,18200,13|110;19|1;21|1,1;2107|20;2402|40;2405|5,0,Melee,8,0,Dagger|Melee Weapon,0
120,3,Harvester of Abyss,,18000,13|245;19|3;21|2,,0,none,0,0,Blade|Melee Weapon,0
121,3,The Hidden,,2500,13|59;19|1;21|1,1;2107|50;2300|20,0,Melee,5,0,Dagger|Melee Weapon,0
200,4,Wooden Bow,,70,14|9;20|14;22|3,1;1100|2;2104|5,0,Ranged,2,0,Bow|Ranged Weapon,0
201,4,Bone Bow,,70,14|16;20|15;22|3,1;2100|2;2104|5,0,Ranged,2,0,Bow|Ranged Weapon,0
202,4,Long Bow,,350,14|22;20|17;22|3,1;2200|5;2104|20,0,Ranged,4,0,Bow|Ranged Weapon,0
203,4,Crossbow,,600,14|27;20|12;22|2,1;2200|10;2201|10,0,Ranged,7,0,CrossBow|Ranged Weapon,0
204,4,Storm,,1000,14|24;20|13;22|1.5,,0,none,0,0,CrossBow|Ranged Weapon,0
205,4,Spirit Breaker,,2550,14|37;20|13;22|2,1;2300|12;2301|12;2202|5,0,Ranged,8,0,CrossBow|Ranged Weapon,0
206,4,Sunset,,8000,14|48;20|20;22|3,1;2301|20;2401|10;2400|5,0,Ranged,8,0,Bow|Ranged Weapon,0
207,4,Downpour,,15000,14|34;20|12;22|1,1;2300|50;2402|20;2401|5,0,Ranged,9,0,CrossBow|Ranged Weapon,0
300,5,Sybill's Dice,,1020,24|50,1;2202|12;2106|60;2108|6,0,Magic,2,20,Magic Weapon,0
301,5,Hand of Fate,,4440,24|100,1;2202|48;2106|100;2302|20,0,Magic,2,20,Magic Weapon,0
302,5,Dark Apple,,12900,24|200,1;2408|1;2202|80;2401|20,0,Magic,2,20,Magic Weapon,0
303,5,Deathly Hallow,,39400,24|500,1;2406|1;2202|180;2401|60,0,Magic,2,20,Magic Weapon,0
304,5,Lost Heart,,10000,24|50,,0,none,0,0,Magic Weapon,0
400,10,Iron Arrow,,4,26|5,20;1100|5;2200|1,0,Others,1,0,Arrow,0
401,10,Poison Arrow,,5,26|7,10;400|10;2109|1,0,Others,1,0,Arrow,0
402,10,Dragon Tail,,35,26|10,20;2404|1;2200|10,0,Others,1,0,Arrow,0
403,10,Seeker,,30,27|8,,0,none,0,0,Arrow,0
404,0,Paper,,20,,5;2103|5;4100|1,0,Others,0,0,Material,0
500,6,Leather Cap,,30,15|2;18|1,1;2102|3,0,Head,1,0,Helmet,0
501,6,Rogue Scarf,,100,15|5;18|2,,0,none,0,0,Helmet,0
502,6,Hard Armet,,210,15|8;18|2,1;2200|4;2104|4;2105|5,0,Head,2,0,Helmet,0
503,6,Guard Armet,,300,15|10;18|3,,0,none,0,0,Helmet,0
504,6,Scout Helmet,,300,15|8;18|4,,0,none,0,0,Helmet,0
505,6,Fearless Armet,,720,15|12;18|3,1;2200|10;2201|10;2105|12,0,Head,3,0,Helmet,0
506,6,Viking Honor,,900,15|11;18|3,,0,none,0,0,Helmet,0
507,6,Frost Breath,,4200,15|15;18|4,1;2300|20;2301|20;2105|20,0,Head,4,0,Helmet,0
508,6,Grey Shadow,,2100,15|14;18|4,1;2302|15;2106|50;2108|10,0,Head,4,0,Helmet,0
509,6,Scarlet Dawn,,9000,15|19;18|4,1;2402|10;2300|25;2301|25,0,Head,4,0,Helmet,0
510,6,Devil's Helmet,,14000,15|17;18|6,1;2405|12;2401|8;2402|15,0,Head,6,0,Helmet,0
511,6,Dark Fog,,22400,15|23;18|5,1;2405|20;2401|24;2402|12,0,Head,6,0,Helmet,0
512,6,High Order,,34000,15|27;18|5,1;2409|1;2401|30;2402|30,0,Head,6,0,Helmet,0
600,7,Cotton Jacket,,100,15|4;18|1,1;2102|10,0,Body,2,0,Body Armor,0
601,7,Stealth Cloak,,300,15|11;18|3,,0,none,0,0,Body Armor,0
602,7,Iron Armor,,510,15|18;18|3,1;2200|10;2104|6;2105|15,0,Body,3,0,Body Armor,0
603,7,Guards Gear,,700,15|22;18|4,,0,none,0,0,Body Armor,0
604,7,Scout Leather,,700,15|19;18|6,,0,none,0,0,Body Armor,0
605,7,Fearless Armor,,1900,15|26;18|5,1;2200|20;2201|30;2105|40,0,Body,5,0,Body Armor,0
606,7,Viking Favor,,2500,15|25;18|8,,0,none,0,0,Body Armor,0
607,7,Frost Thorn,,5500,15|35;18|6,1;2300|20;2301|30;2105|50,0,Body,6,0,Body Armor,0
608,7,Dark Shadow,,7500,15|33;18|10,1;2302|60;2106|100;2108|50,0,Body,6,0,Body Armor,0
609,7,Scarlet Dusk,,16600,15|44;18|8,1;2401|24;2300|35;2301|35,0,Body,6,0,Body Armor,0
610,7,Shark Armor,,17500,15|44;18|10,1;2401|20;2303|30;2106|50,0,Body,8,0,Body Armor,0
611,7,Devil's Armor,,26800,15|40;18|12,1;2405|25;2401|12;2402|30,0,Body,8,0,Body Armor,0
612,7,Dark Wings,,34400,15|53;18|10,1;2405|36;2401|35;2402|15,0,Body,8,0,Body Armor,0
613,7,Dragon Guardian,,36400,15|62;18|12,1;2407|30;2401|25;2402|36,0,Body,8,0,Body Armor,0
700,8,Sandals,,100,23|1;18|0,1;2104|10,0,Shoe,1,0,Shoes,0
701,8,Boots,,140,23|2;18|1,1;2102|8;2104|6,0,Shoe,2,0,Shoes,0
702,8,Feather boots,,480,23|2;18|3,1;2101|24;2102|6;2104|18,0,Shoe,3,0,Shoes,0
703,8,Running Beast,,2550,23|4;18|3,1;2108|80;2400|4;2106|15,0,Shoe,4,0,Shoes,0
704,8,Lucky,,3350,23|3;18|6,1;2101|80;2400|6;2106|15,0,Shoe,4,0,Shoes,0
705,8,Flying Wings,,6500,23|5;18|10,1;2403|5;2400|10;2106|50,0,Shoe,5,0,Shoes,0
706,8,Thunder,,6500,23|6;18|8,1;2407|5;2400|10;2106|50,0,Shoe,5,0,Shoes,0
800,9,Bloody Pendant,,5000,,,0,none,0,0,Accessory,0
801,9,Gem Stone,,5000,,,0,none,0,0,Accessory,0
802,9,Ring of Courage,,5000,,,0,none,0,0,Accessory,0
803,9,Blessing Pendant,,5000,,,0,none,0,0,Accessory,0
804,9,Regeneration Amulet,,5000,,,0,none,0,0,Accessory,0
805,9,Treatment Stone,,5000,,,0,none,0,0,Accessory,0
806,9,Angle Pendant,,5000,,,0,none,0,0,Accessory,0
807,9,Tidal Horn,,5000,,,0,none,0,0,Accessory,0
808,9,Green Jade,,5000,,,0,none,0,0,Accessory,0
809,9,Dragon ornaments,,5000,,,0,none,0,0,Accessory,0
810,9,Pure Horn,,5000,,,0,none,0,0,Accessory,0
811,9,Eye of Temptation,,5000,,,0,none,0,0,Accessory,0
1100,0,Wood,,10,,,0,none,0,0,Material,0
1101,0,Rock,,10,,,0,none,0,0,Material,0
2100,0,Bone,,10,,,0,none,0,0,Material,0
2101,0,Feather,,10,,,0,none,0,0,Material,0
2102,0,Fur,,10,,,0,none,0,0,Material,0
2103,0,Bark,,10,,,0,none,0,0,Material,0
2104,0,Rattan,,10,,,0,none,0,0,Material,0
2105,0,Skin,,10,,,0,none,0,0,Material,0
