id,name,level,propType,spirit,speed,range,vitalSensibility,skills,bodyPart,reward,canCapture,group
100,Buffalo,3,3,100,8,3,70,16,body|head|leg,4102|2;2102|2,2,2
101,Elk,2,1,100,11,2,70,2,body|head|leg,4102|2;2102|2,2,1
102,Horse,2,1,100,12,1,70,16,body|head|leg,4102|2;2102|2,2,2
103,Shadow Panther,8,12,100,13,1,85,1|21,body|head|leg,4102|2;2101|5,5,1
104,Snake,4,1,100,8,3,80,1|34,body|head|tail,4102|3;2105|2,0,2
105,Bird,2,1,100,9,1,70,17,body|head|wing,4102|2;2101|5,0,1
200,Poison Ivy,5,8,100,2,12,100,34,body||,2104|5;2109|2,0,3
201,Hare,2,1,100,7,1,65,16,body|head|leg,4102|2;2102|2,0,1
202,Wolf,6,2,100,13,2,80,1,body|head|leg,4102|2;2102|2,4,3
203,Bee Shooter,4,8,100,6,5,80,22,body|eye|wing,4111|0.14;2107|1,0,5
204,Queen Bee,9,12,100,11,8,75,22,body|eye|wing,4111|2;2107|2,0,1
300,Jackal,5,10,100,14,2,75,1,body|head|leg,4102|2;2102|2,4,2
301,Rat,1,2,100,10,2,70,1,body|head|leg,4102|2,0,3
302,Crow,1,4,100,7,1,80,17,body|head|wing,4102|2,0,1
303,Wolf,5,2,100,13,2,80,1,body|head|leg,4102|2;2102|2,4,3
304,White Wolf,8,9,100,14,2,75,1,body|head|leg,4102|2;2102|2,4,1
400,Dog,2,2,100,10,1,80,1,body|head|leg,4102|2;2102|2,3,2
401,Burglar,4,5,100,8,2,60,6|16|19,body|head|leg,103|0.19;500|0.26;600|0.19,0,1
500,Bandit,8,12,100,9,2,70,28|16|19,body|head|leg,3107|1;501|0.21;601|0.16,0,2
501,Bandit Learder,15,3,100,9,3,80,28|16|19,body|head|leg,3108|1;3107|1;501|0.22;601|0.17,0,1
502,Bandit Guard,8,13,100,8,2,70,28|16|19,body|head|leg,3107|1;501|0.21;601|0.16,0,1
503,Dog,5,2,100,10,1,80,1,body|head|leg,4102|2;2102|2,3,2
600,Ratman,12,8,100,11,2,75,24|1|16,body|head|leg,107|0.17,0,2
601,Devil Scorpion,11,13,100,7,4,80,28,body|head|leg,2109|2;2107|0.38,0,1
602,Kobold,13,7,100,10,2,70,8|16|19,body|head|leg,2200|2;2201|0.3;2300|0.22;2301|0.22,0,2
603,Poison Spider,12,4,100,7,1,75,1|27,body|head|leg,2106|3;2109|2,5,2
604,Kobold Chieftain,20,6,100,12,2,70,8|16|19,body|head|leg,2300|0.23;2301|0.23,0,1
605,Undead Miner,14,11,100,7,2,100,31,body||leg,2100|5,0,1
700,Pirate,13,1,100,7,1,70,6|16|19,body|head|leg,500|0.3;604|0.14;701|0.2,0,2
701,Sailor,14,8,100,7,2,75,6,body|head|leg,500|0.3;604|0.14;701|0.2,0,2
702,Devil Octopus,18,7,100,9,5,85,34,body|head|leg,4102|3;2105|2,0,1
703,RedBeard,30,8,100,8,2,80,6|33,body|head|leg,204|0.14;4208|0.24;800|0.1;500|0.34;604|0.16;701|0.23,0,1
800,Begrace Guard Leader,20,10,100,8,2,80,6|16|19,body|head|leg,3104|1;503|0.18;603|0.15,0,1
810,Banshee Scout,10,2,100,8,2,80,28|16|19,body|head|leg,3105|1;504|0.16;604|0.13,0,2
811,Baltiless Scout,10,3,100,10,2,80,28|16|19,body|head|leg,3106|1;504|0.16;604|0.13,0,2
812,Banshee Scout Leader,20,8,100,10,2,90,28|16|19,body|head|leg,3105|1;504|0.18;604|0.15,0,1
813,Baltiless Scout Leader,20,10,100,12,2,90,28|16|19,body|head|leg,3106|1;504|0.18;604|0.15,0,1
900,Banshee Guard Leader,20,4,100,8,2,80,6|16|19,body|head|leg,3105|1;503|0.18;603|0.15,0,1
910,Baltiless Scout,10,3,100,10,2,80,28|16|19,body|head|leg,3106|1;504|0.16;604|0.13,0,2
911,Begrace Scout,10,1,100,8,2,80,28|16|19,body|head|leg,3104|1;504|0.16;604|0.13,0,2
912,Baltiless Scout Leader,20,10,100,12,2,90,28|16|19,body|head|leg,3106|1;504|0.18;604|0.15,0,1
913,Begrace Scout Leader,20,4,100,10,2,90,28|16|19,body|head|leg,3104|1;504|0.18;604|0.15,0,1
1000,Baltiless Guard Leader,20,8,100,10,2,80,6|16|19,body|head|leg,3106|1;503|0.18;603|0.15,0,1
1010,Banshee Scout,10,2,100,8,2,80,28|16|19,body|head|leg,3105|1;504|0.16;604|0.13,0,2
1011,Begrace Scout,10,1,100,8,2,80,28|16|19,body|head|leg,3104|1;504|0.16;604|0.13,0,2
1012,Banshee Scout Leader,20,8,100,10,2,90,28|16|19,body|head|leg,3105|1;504|0.18;604|0.15,0,1
1013,Begrace Scout Leader,20,4,100,10,2,90,28|16|19,body|head|leg,3104|1;504|0.18;604|0.15,0,1
1300,Dark Elf,24,8,100,15,19,90,22|16|19,body|head|leg,2302|2,0,1
