id,actionType,actionPara,Name,desc
101,2,4100|5|1;4105|1|0.2,小溪,潺潺的溪流。
102,4,4105|3|0.7,鲤鱼群,鱼群游来游去。
103,5,100|115;101|153;102|153;103|27;104|86;105|153,捕猎,在溪边狩猎。
104,3,300;300;3102|1000;2103|1000;4105|1000|100;4110|1000|100;4101|1000|100;4103|1000|100;4104|1000|100;1100|1000|100,探索,探索未知的区域。
201,0,20;0;1100|5|1;2103|2|1,树,砍伐树木。
202,4,4104|3|0.7;2104|2|0.5,浆果丛,很好吃的浆果。
203,5,200|103;201|185;202|85;203|125;204|48,捕猎,在森林中狩猎。
204,3,300;300;3102|1000;2103|1000;4104|1000|100;4110|1000|100;2102|1000|100;4101|1000|100;4103|1000|100;1100|1000|100,探索,探索未知的区域。
205,6,流浪汉;善良的人…请给我点吃的！快…;1;10000,流浪汉,跟他谈一谈。
301,1,300;300;1101|5|1;2200|2|0.5;2201|2|0.5,石堆,在石堆中挖掘。
302,5,300|77;301|211;302|211;303|77;304|36,捕猎,在山间狩猎。
303,3,200;200;2200|333;2201|333;1101|1000|100;4110|1000|100;4101|1000|100;4103|1000|100;1100|1000|100,探索,探索未知的区域。
401,6,镇长;最近镇上常有山贼出没，居民们深受其害，请务必除去他们！;2;10001,镇长,跟他谈一谈。
402,6,酒保;好久没吃鱼了，弄些河里的鱼给我尝尝鲜，我可以教你酿酒。;3;10002,酒坊,跟他谈一谈。
403,5,400|139;401|71,捕猎,追踪可疑的人。
404,6,农夫;种田是最有前途的事情。;4;10003,农夫,跟他谈一谈。
405,3,100;100;3103|1000;3102|1000;1100|1000|100,探索,探索未知的区域。
501,5,500|111;501|25;502|111;503|155,捕猎,猎杀土匪。
502,3,100;100;3100|1000;3102|1000|100;4101|1000|100;1100|1000|100,探索,探索未知的区域。
503,6,奇怪的骷髅;咳…咳…带我…回去……;5 ,奇怪的骷髅,跟他谈一谈。
601,1,300;300;1101|2|0.5;2200|5|0.5;2201|5|0.5;2300|1|0.5;2301|1|0.5,矿石,在矿洞中挖矿。
602,5,600|112;601|121;602|104;603|112;604|30;605|97,捕猎,在山洞内狩猎。
603,3,300;300;2200|333;2201|333;1101|1000|100;2300|100|100;2301|100|100;4109|1000|100,探索,探索未知的区域。
701,4,4107|4|0.6;4106|3|0.5,收网,收网捕鱼。
702,5,700|135;701|128;702|104;703|20,捕猎,在海湾狩猎。
703,3,300;300;4107|1000;4108|1000;4106|1000|100,探索,探索未知的区域。
704,6,大副;击败巨兽，给我它的心脏…!;6;0,大副,跟他谈一谈。
801,6,族长A;击败其它两个部落，统一三族！;7;10006,族长,跟他谈一谈。
802,6,长老A;胜利总是伴随着献血和荣耀！;8;10007,长老,跟他谈一谈。
805,5,800|50;810|200;811|200;812|50;813|50,侦查,在附近侦查。
901,6,族长B;只有我族才是这片土地的守护者！;9;10011,族长,跟他谈一谈。
902,6,长老A;胜利总是伴随着献血和荣耀！;10;10012,长老,跟他谈一谈。
905,5,900|50;910|200;911|200;912|50;913|50,侦查,在附近侦查。
1001,6,族长C;击败其它两个部落，统一三族！;11;10016,族长,跟他谈一谈。
1002,6,长老A;胜利总是伴随着献血和荣耀！;12;10017,长老,跟他谈一谈。
1005,5,1000|50;1010|200;1011|200;1012|50;1013|50,侦查,在附近侦查。
1101,6,矮人金霹;大刀阔斧才是制胜之道！;13;0,矮人金霹,跟他谈一谈。
1102,6,宝石商人;我一点都不黑。;14;10021,宝石商人,跟他谈一谈。
1201,6,死灵法师;不死即为永生!;15;0,死灵法师,跟他谈一谈。
1202,6,奇怪的骷髅;感谢你带回了我的魂匣，奇怪的旅者... 请在沼泽中再帮我找回一些，我就可以复活了!;16;0,奇怪的骷髅,跟他谈一谈。
1301,5,1300|112;1301|117;1302|130;1303|84;1304|20;1305|62,捕猎,在森林中狩猎。
1302,0,30;0;1100|5|1;2103|2|1,树,砍伐树木。
1303,3,300;300;1100|1000;2103|1000;3102|1000|100;4110|1000|100;4103|1000|100;4104|1000|100;3102|1000|100;2203|333|100,探索,探索未知的区域。
1304,6,精灵射手;欢迎你来到这里，陌生的旅行者。请到树屋一坐。;17;0,精灵射手,跟他谈一谈。
1401,6,绿叶族长;箭是一门艺术。;18;0,族长,跟他谈一谈。
1402,6,树人先知;城堡中的邪恶力量正在滋长。,先知,跟他谈一谈。
1501,1,500;500;2200|2|0.5;2201|2|0.5;2300|4|0.5;2301|4|0.5;1101|1|0.5;2400|1|0.33;2401|1|0.33;2402|1|0.33,矿石,在矿洞中挖矿。
1502,5,1500|107;1501|96;1502|112;1503|85,捕猎,在矿洞中狩猎。
1503,3,300;300;2200|333;2201|333;4109|1000|100;2300|100|100;2301|100|100;2400|25|100;2401|25|100;2402|25|100,探索,探索未知的区域。
1601,5,1600|107;1601|107;1602|100;1603|35,捕猎,在沼泽中猎杀怪物。
1602,3,200;200;2202|333;2100|1000;3102|1000|100;4103|1000|100;2203|333|100;1100|1000|100;1101|1000|100,探索,探索未知的区域。
1701,5,1700|72;1701|15;1702|58;1703|70;1704|70,捕猎,在古堡中猎杀怪物。
1702,3,100;100;2100|1000;2400|25;2401|25|100;2402|25|100,探索,探索未知的区域。
1801,5,1800|150;1801|5;1802|5;1803|5;1804|20,捕猎,危险的狩猎。
1802,3,200;200;3102|1000;3100|1000;2400|25|100;2401|25|100;2402|25|100;1100|1000|100;4104|1000|100;4103|1000|100;4110|1000|100,探索,探索未知的区域。
1901,5,1900|120;1901|50;1902|50;1903|100;1904|150;1905|70;1906|137;1907|110;1908|50;1909|110;1910|78;1911|25;1912|123,捕猎,在荒原狩猎。
1902,3,300;300;3102|1000;4101|1000;4103|1000|100;4104|1000|100;1100|1000|100;4110|1000|100,探索,探索未知的区域。
2001,5,2000|100;2001|30;2002|85;2003|15;2004|118,捕猎,猎杀食人魔。
2002,3,100;100;2100|1000;3102|1000,探索,探索未知的区域。
2100,6,地牢守护者;欢迎你，来自他乡的勇士。希望你能在这里找到自己迷失的灵魂。;20;0,地牢守护者,跟他谈一谈。
2101,5,2100|132;2101|107;2102|132;2103|97;2104|97;2105|79;2106|119;2107|87;2108|119;2109|97;2110|71;2111|87;2112|64;2113|64;2114|97;2115|79;2116|64;2117|146;2118|180;2119|146;2120|119,捕猎,探索地牢。
2201,5,2200|174;2201|111;2202|71;2203|71,捕猎,在海岛狩猎。
2202,3,100;100;4107|1000;4108|1000;4106|1000|100,探索,探索未知的区域。
2301,5,2300|224;2301|185;2302|86;2303|27,捕猎,在海岛狩猎。
2302,3,100;100;4107|1000;4108|1000;4106|1000|100,探索,探索未知的区域。
2401,5,2400|139;2401|100;2402|25,捕猎,在大海狩猎。
2402,3,10000;10000;4112|10;4106|1000;4107|1000|100,探索,探索未知的区域。
