id,name,target,power,effectId,effectProp,castSpeed
1,Bite,1,100,0,0,3
2,Bump,1,100,0,0,4
4,Chaos Strike,1,10,101,100,4
5,Charm,1,10,102,100,4
6,Chop,1,100,0,0,2
7,Clamp,1,100,0,0,3
8,Club,1,100,0,0,3
10,Devour,1,150,0,0,3
11,Earthquake,1,40,103,60,5
12,FireBall,1,100,111,50,4
13,Freeze,1,50,104,80,4
14,Howl,1,150,0,0,3.6
15,Intimidate,1,120,0,0,4
16,Kick,1,100,0,0,2
17,Peck,1,100,0,0,2
18,Petrify,1,40,105,60,3
19,Punch,1,100,0,0,2.4
20,Purify,0,50,0,0,4
21,Scratch,1,100,0,0,2.4
22,Shoot,1,100,0,0,3
24,Slap,1,100,0,0,3
25,Slow,1,50,100,100,3
26,Soul Assimilate,1,50,106,100,3
27,Spin,1,40,107,60,4
28,Stab,1,100,0,0,2
29,Stamp,1,100,0,0,3
30,Stare,1,20,105,70,2
31,Strike,1,100,0,0,3
33,Vampiric Strike,1,70,109,100,3
34,Whip,1,100,0,0,3
35,Slit,1,100,0,0,3
