id,name,type,lv,maxLv,req,time,desc
101,背包扩充(Lv.1),1,1,10,2105|10;2106|10;3402|2,1,背包容量+5。
102,背包扩充(Lv.2),1,2,10,2105|10;2106|10;3402|4,1,背包容量+5。
103,背包扩充(Lv.3),1,3,10,2105|10;2106|10;3402|8,1,背包容量+5。
104,背包扩充(Lv.4),1,4,10,2105|10;2106|10;3402|16,1,背包容量+5。
105,背包扩充(Lv.5),1,5,10,2105|10;2106|10;3402|32,1,背包容量+5。
106,背包扩充(Lv.6),1,6,10,2105|10;2106|10;3402|32,1,背包容量+5。
107,背包扩充(Lv.7),1,7,10,2105|10;2106|10;3402|32,1,背包容量+5。
108,背包扩充(Lv.8),1,8,10,2105|10;2106|10;3402|32,1,背包容量+5。
109,背包扩充(Lv.9),1,9,10,2105|10;2106|10;3402|32,1,背包容量+5。
110,背包扩充(Lv.10),1,10,10,2105|10;2106|10;3402|32,1,背包容量+5。
201,房屋设计(Lv.1),2,1,3,404|20,3,加快20%建造速度。
202,房屋设计(Lv.2),2,2,3,404|50,6,加快40%建造速度。
203,房屋设计(Lv.3),2,3,3,404|100,12,加快60%建造速度。
301,铁将军(Lv.1),3,1,3,2200|20;2201|20,5,少量降低被偷窃的损失。
302,机械锁(Lv.2),3,2,3,2300|20;2301|20,5,中量降低被偷窃的损失。
303,密码锁(Lv.3),3,3,3,2402|20;2400|20,5,大量降低被偷窃的损失。
401,雇佣农夫(Lv.1),4,1,3,4208|10,1,雇佣农夫种地，增加作物产量。
402,雇佣农夫(Lv.2),4,2,3,4209|15,1,雇佣更多农夫，增加作物产量。
403,雇佣农夫(Lv.3),4,3,3,4210|20,1,雇佣大量农夫，增加作物产量。
501,酿酒技艺(Lv.1),5,1,3,1100|30;2104|20,5,制造大酒桶，提高产量。
502,酿酒技艺(Lv.2),5,2,3,4101|50;4104|50;4100|50,5,改善配方，提高产量。
503,酿酒技艺(Lv.3),5,3,3,4200|200,1,雇佣酿酒工人。
601,射术(Lv.1),6,1,20,3304|5,1,提高10点远程伤害。
602,射术(Lv.2),6,2,20,3304|10,1,提高20点远程伤害。
603,射术(Lv.3),6,3,20,3304|15,1,提高30点远程伤害。
604,射术(Lv.4),6,4,20,3304|20,1,提高40点远程伤害。
605,射术(Lv.5),6,5,20,3304|25,1,提高5%远程命中率。
606,射术(Lv.6),6,6,20,3304|30,1,提高50点远程伤害。
607,射术(Lv.7),6,7,20,3304|35,1,提高60点远程伤害。
608,射术(Lv.8),6,8,20,3304|40,1,提高70点远程伤害。
609,射术(Lv.9),6,9,20,3304|45,1,提高80点远程伤害。
610,射术(Lv.10),6,10,20,3304|50,1,提高10%远程命中率。
611,射术(Lv.11),6,11,20,3304|55,1,提高90点远程伤害。
612,射术(Lv.12),6,12,20,3304|60,1,提高100点远程伤害。
613,射术(Lv.13),6,13,20,3304|65,1,提高110点远程伤害。
614,射术(Lv.14),6,14,20,3304|70,1,提高120点远程伤害。
615,射术(Lv.15),6,15,20,3304|75,1,提高15%远程命中率。
616,射术(Lv.16),6,16,20,3304|80,1,提高130点远程伤害。
617,射术(Lv.17),6,17,20,3304|85,1,提高140点远程伤害。
618,射术(Lv.18),6,18,20,3304|90,1,提高150点远程伤害。
619,射术(Lv.19),6,19,20,3304|95,1,提高160点远程伤害。
620,射术(Lv.20),6,20,20,3304|100,1,提高20%远程命中率。
701,格斗技巧(Lv.1),7,1,20,3302|5,1,提高10点近战伤害。
702,格斗技巧(Lv.2),7,2,20,3302|10,1,提高20点近战伤害。
703,格斗技巧(Lv.3),7,3,20,3302|15,1,提高30点近战伤害。
704,格斗技巧(Lv.4),7,4,20,3302|20,1,提高40点近战伤害。
705,格斗技巧(Lv.5),7,5,20,3302|25,1,提高5%近战命中率。
706,格斗技巧(Lv.6),7,6,20,3302|30,1,提高50点近战伤害。
707,格斗技巧(Lv.7),7,7,20,3302|35,1,提高60点近战伤害。
708,格斗技巧(Lv.8),7,8,20,3302|40,1,提高70点近战伤害。
709,格斗技巧(Lv.9),7,9,20,3302|45,1,提高80点近战伤害。
710,格斗技巧(Lv.10),7,10,20,3302|50,1,提高10%近战命中率。
711,格斗技巧(Lv.11),7,11,20,3302|55,1,提高90点近战伤害。
712,格斗技巧(Lv.12),7,12,20,3302|60,1,提高100点近战伤害。
713,格斗技巧(Lv.13),7,13,20,3302|65,1,提高110点近战伤害。
714,格斗技巧(Lv.14),7,14,20,3302|70,1,提高120点近战伤害。
715,格斗技巧(Lv.15),7,15,20,3302|75,1,提高15%近战命中率。
716,格斗技巧(Lv.16),7,16,20,3302|80,1,提高130点近战伤害。
717,格斗技巧(Lv.17),7,17,20,3302|85,1,提高140点近战伤害。
718,格斗技巧(Lv.18),7,18,20,3302|90,1,提高150点近战伤害。
719,格斗技巧(Lv.19),7,19,20,3302|95,1,提高160点近战伤害。
720,格斗技巧(Lv.20),7,20,20,3302|100,1,提高20%近战命中率。
801,法术研究(Lv.1),8,1,3,3305|10,1,提高10%法术成功率。
802,法术研究(Lv.2),8,2,3,3305|30,1,提高20%法术成功率。
803,法术研究(Lv.3),8,3,3,3305|50,1,提高30%法术成功率。
901,灵魂感知,9,1,1,2202|20,2,可以预知魔法成功率。
1001,灵魂抵抗(Lv.1),10,1,2,2202|10;2400|10,5,降低50%法术消耗。
1002,灵魂抵抗(Lv.2),10,2,2,2202|30;2400|30,10,降低100%法术消耗。
1101,胡萝卜大棒(Lv.1),11,1,3,4102|10;100|10,5,增加10%捕获宠物的成功率。
1102,胡萝卜大棒(Lv.2),11,2,3,4102|20;101|8,5,增加20%捕获宠物的成功率。
1103,胡萝卜大棒(Lv.3),11,3,3,4102|50;108|5,5,增加30%捕获宠物的成功率。
1201,伪装(Lv.1),12,1,2,2105|10;2108|10,4,降低25%捕猎时被发现的概率。
1202,伪装(Lv.2),12,2,2,2105|30;2108|30,6,降低50%捕猎时被发现的概率。
1301,制图学,13,1,1,404|100,12,增加新地图探索的速度。
1401,地牢绘制,14,1,1,404|50;3401|10,5,可以定位到上次地牢探索的位置。
1501,制造学徒(Lv.1),15,1,3,2200|30;2201|30,2,降低20%制造物品的时间。
1502,制造高手(Lv.2),15,2,3,2300|40;2301|40,4,降低40%制造物品的时间。
1503,制造大师(Lv.3),15,3,3,2400|20;2401|20;2402|20,8,降低60%制造物品的时间。
1601,厨艺提升(Lv.1),16,1,3,4102|10,2,降低20%烹饪时间并有几率获得额外食物。
1602,厨艺提升(Lv.2),16,2,3,4102|30,4,降低40%烹饪时间并有几率获得额外食物。
1603,厨艺提升(Lv.3),16,3,3,4102|100,8,降低60%烹饪时间并有几率获得额外食物。
1701,建造循环水(Lv.1),17,1,2,1100|20;1101|30,5,增加水井20%的收集速度。
1702,改良水系统(Lv.2),17,2,2,404|50;4200|120,10,增加水井40%的收集速度。
