id,name,level,propType,spirit,speed,range,vitalSensibility,skills,bodyPart,reward,canCapture,group,openMap,goodPoints
100,野牛,3,3,100,8,3,70,16,身体|头部|腿部,4102|2;2102|2,2,2,0,0
101,麋鹿,2,1,100,11,2,70,2,身体|头部|腿部,4102|2;2102|2,2,1,0,0
102,野马,2,1,100,12,1,70,16,身体|头部|腿部,4102|2;2102|2,2,2,0,0
103,猎豹,8,12,100,13,1,85,1|21,身体|头部|腿部,4102|2;2101|5,5,1,0,0
104,蛇人,4,1,100,8,3,80,1|34,身体|头部|尾部,4102|3;2105|2,0,2,0,0
105,鸟,2,1,100,9,1,70,17,身体|头部|翅膀,4102|2;2101|5,0,1,0,0
200,毒藤,5,8,100,2,12,100,34,身体||,2104|5;2109|2,0,3,0,0
201,野兔,2,1,100,7,1,65,16,身体|头部|腿部,4102|2;2102|2,0,1,0,0
202,狼,6,2,100,13,2,80,1,身体|头部|腿部,4102|2;2102|2,4,3,0,0
203,蜜蜂射手,4,8,100,6,5,80,22,身体|眼睛|翅膀,4111|0.14;2107|1,0,5,0,0
204,蜂后,9,12,100,11,8,75,22,身体|眼睛|翅膀,4111|2;2107|2,0,1,0,0
300,豺狼,5,10,100,14,2,75,1,身体|头部|腿部,4102|2;2102|2,4,2,0,0
301,田鼠,1,2,100,10,2,70,1,身体|头部|腿部,4102|2,0,3,0,0
302,乌鸦,1,4,100,7,1,80,17,身体|头部|翅膀,4102|2,0,1,0,0
303,狼,5,2,100,13,2,80,1,身体|头部|腿部,4102|2;2102|2,4,3,0,0
304,白狼,8,9,100,14,2,75,1,身体|头部|腿部,4102|2;2102|2,4,1,0,0
400,野狗,2,2,100,10,1,80,1,身体|头部|腿部,4102|2;2102|2,3,2,0,0
401,毛贼,4,5,100,8,2,60,6|16|19,身体|头部|腿部,103|0.19;500|0.26;600|0.19,0,1,0,1
500,飞贼,8,12,100,9,2,70,28|16|19,身体|头部|腿部,501|0.21;601|0.16,0,2,0,1
501,贼王,15,3,100,9,3,80,28|16|19,身体|头部|腿部,501|0.22;601|0.17,0,1,0,5
502,飞贼看守,8,13,100,8,2,70,28|16|19,身体|头部|腿部,501|0.21;601|0.16,0,1,0,1
503,野狗,5,2,100,10,1,80,1,身体|头部|腿部,4102|2;2102|2,3,2,0,0
600,食人鼠,12,8,100,11,2,75,24|1|16,身体|头部|腿部,107|0.17,0,2,0,1
601,魔蝎,11,13,100,7,4,80,28,身体|头部|腿部,2109|2;2107|0.38,0,1,0,1
602,狗头人,13,7,100,10,2,70,8|16|19,身体|头部|腿部,2200|2;2201|0.3;2300|0.22;2301|0.22,0,2,0,1
603,毒蜘蛛,12,4,100,7,1,75,1|27,身体|头部|腿部,2106|3;2109|2,5,2,0,0
