id,Hp,Hp_inc,Att,Att_inc,Def,Def_inc,Hit,Dodge
1,20,2.5,5,0.25,0,0.28,75,5
2,11.2,1.39,10,0.5,2.4,0.3,75,5
3,25,3.125,4.8,0.25,3,0.336,70,5
4,22,2.4,5,0.25,0,0.28,75,5
5,16,2.58,5,0.25,0,0.28,75,5
6,20,2.5,7,0.15,0,0.28,75,5
7,20,2.5,4.9,0.252,0,0.28,75,5
8,11.2,1.39,12,0.4,2.4,0.3,75,5
9,11.2,1.39,8,0.6,2.4,0.3,75,5
10,30,2.875,4.8,0.25,3,0.336,70,5
11,23,3.165,4.8,0.25,3,0.336,70,5
12,11.2,1.39,0.95,0.475,2.4,0.3,90,5
13,11.2,1.39,10.05,0.525,2.4,0.3,75,5
14,23.75,2.97,4.8,0.25,3,0.336,70,15
15,26.25,3.28,4.8,0.25,3,0.336,70,5
