id,Hp,Hp_inc,Att,Att_inc,Def,Def_inc,Hit,Dodge
1,30,3.13,7.5,0.3,0,0.28,75,5
2,16.8,1.74,15,0.6,2.4,0.3,75,5
3,37.5,3.91,7.2,0.3,3,0.336,70,5
4,33,3,7.5,0.3,0,0.28,75,5
5,24,3.23,7.5,0.3,0,0.28,75,5
6,30,3.13,10.5,0.18,0,0.28,75,5
7,30,3.13,7.35,0.3024,0,0.28,75,5
8,16.8,1.74,18,0.48,2.4,0.3,75,5
9,16.8,1.74,12,0.72,2.4,0.3,75,5
10,45,3.59,7.2,0.3,3,0.336,70,5
11,34.5,3.96,7.2,0.3,3,0.336,70,5
12,16.8,1.74,1.425,0.57,2.4,0.3,90,5
13,16.8,1.74,15.075,0.63,2.4,0.3,75,5
14,35.63,3.71,7.2,0.3,3,0.336,70,15
15,39.38,4.1,7.2,0.3,3,0.336,70,5
