id,name,level,propType,spirit,speed,range,vitalSensibility,skills,bodyPart,reward,canCapture,group,openMap,goodPoints,liveplace
100,野牛,5,3,100,8,3,70,16,身体|头部|腿部,4102|2;2102|2,2,2,0,0,1
101,麋鹿,4,1,100,11,2,70,2,身体|头部|腿部,4102|2;2102|2,2,1,0,0,1
102,野马,3,1,100,12,1,70,16,身体|头部|腿部,4102|2;2102|2,2,2,0,0,1
103,猎豹,10,12,100,13,1,85,1|21,身体|头部|腿部,4102|2;2102|5,5,1,0,0,1
104,蛇人,8,1,100,8,3,80,1|34,身体|头部|尾部,4102|3;2105|2;3402|0.1,0,2,0,0,1
105,鸟,2,1,100,9,1,70,17,身体|头部|翅膀,4102|2;2101|5,0,1,0,0,1
200,毒藤,6,8,100,2,12,100,34,身体||,2104|5;2109|2,0,3,0,0,1
201,野兔,2,1,100,7,1,65,16,身体|头部|腿部,4102|2;2102|2,0,1,0,0,1
202,狼,11,2,100,13,2,80,1,身体|头部|腿部,4102|2;2102|2,4,3,0,0,1
203,蜜蜂射手,6,8,100,6,5,80,22,身体|眼睛|翅膀,4111|0.14;2107|1;3304|0.02,0,5,0,0,1
204,蜂后,12,12,100,11,8,75,22,身体|眼睛|翅膀,4111|2;2107|2;3402|0.1;3304|0.045,0,1,0,0,1
300,豺狼,9,10,100,14,2,75,1,身体|头部|腿部,4102|2;2102|2,4,2,0,0,1
301,田鼠,1,2,100,10,2,70,1,身体|头部|腿部,4102|2,0,3,0,0,1
302,乌鸦,1,4,100,7,1,80,17,身体|头部|翅膀,4102|2,0,1,0,0,1
303,狼,12,2,100,13,2,80,1,身体|头部|腿部,4102|2;2102|2,4,3,0,0,1
304,白狼,13,9,100,14,2,75,1,身体|头部|腿部,4102|2;2102|2,4,1,0,0,1
400,野狗,6,2,100,10,1,80,1,身体|头部|腿部,4102|2;2102|2,3,2,0,0,1
401,毛贼,10,5,100,8,2,60,6|16|19,身体|头部|腿部,103|0.19;500|0.26;600|0.19;3402|0.1;3302|0.02,0,1,0,1,1
402,飞贼,9,12,100,9,2,70,28|16|19,身体|头部|腿部,501|0.21;601|0.16;3402|0.1;3302|0.04,0,2,0,1,1
500,飞贼,9,12,100,9,2,70,28|16|19,身体|头部|腿部,501|0.21;601|0.16;3402|0.1;3302|0.04,0,2,0,1,1
