id,name,target,power,effectId,effectProp,castSpeed
1,咬,1,100,0,0,1.5
2,磕碰,1,100,0,0,2
4,混乱打击,1,10,101,100,2
5,魅惑,1,10,102,100,2
6,劈,1,100,0,0,1
7,钳击,1,100,0,0,1.5
8,棒打,1,100,0,0,1.5
10,吞食,1,150,0,0,1.5
11,地震波,1,40,103,60,2.5
12,火球,1,100,111,50,2
13,冻结,1,50,104,80,2
14,嚎叫,1,150,0,0,1.8
15,威吓,1,120,0,0,2
16,踢,1,100,0,0,1
17,啄,1,100,0,0,1
18,石化,1,40,105,60,1.5
19,冲撞,1,100,0,0,1.2
20,净化,0,50,0,0,2
21,抓,1,100,0,0,1.2
22,射击,1,100,0,0,1.5
24,拍击,1,100,0,0,1.5
25,减速,1,50,100,100,1.5
26,灵魂吞噬,1,50,106,100,1.5
27,缠绕,1,40,107,60,2
28,刺,1,100,0,0,1
29,跺地,1,100,0,0,1.5
30,凝视,1,20,105,70,1
31,冲击,1,100,0,0,1.5
33,吸血冲击,1,70,109,100,1.5
34,鞭子,1,100,0,0,1.5
35,撕裂,1,100,0,0,1.5
