id,name,type,lv,maxLv,req,time,desc
101,背包扩充(Lv.1),1,1,10,2105|10;2106|10;3402|2,1,背包容量+5。
102,背包扩充(Lv.2),1,2,10,2105|10;2106|10;3402|4,1,背包容量+5。
103,背包扩充(Lv.3),1,3,10,2105|10;2106|10;3402|8,1,背包容量+5。
104,背包扩充(Lv.4),1,4,10,2105|10;2106|10;3402|16,1,背包容量+5。
105,背包扩充(Lv.5),1,5,10,2105|10;2106|10;3402|32,1,背包容量+5。
106,背包扩充(Lv.6),1,6,10,2105|10;2106|10;3402|32,1,背包容量+5。
107,背包扩充(Lv.7),1,7,10,2105|10;2106|10;3402|32,1,背包容量+5。
108,背包扩充(Lv.8),1,8,10,2105|10;2106|10;3402|32,1,背包容量+5。
109,背包扩充(Lv.9),1,9,10,2105|10;2106|10;3402|32,1,背包容量+5。
110,背包扩充(Lv.10),1,10,10,2105|10;2106|10;3402|32,1,背包容量+5。
201,房屋设计(Lv.1),2,1,3,404|20,3,加快20%建造速度。
202,房屋设计(Lv.2),2,2,3,404|50,6,加快40%建造速度。
203,房屋设计(Lv.3),2,3,3,404|100,12,加快60%建造速度。
301,铁将军(Lv.1),3,1,3,2200|20;2201|20,5,少量降低被偷窃的损失。
302,机械锁(Lv.2),3,2,3,2300|20;2301|20,5,中量降低被偷窃的损失。
303,密码锁(Lv.3),3,3,3,2402|20;2400|20,5,大量降低被偷窃的损失。
401,雇佣农夫(Lv.1),4,1,3,4208|10,1,雇佣农夫种地，增加作物产量。
402,雇佣农夫(Lv.2),4,2,3,4209|15,1,雇佣更多农夫，增加作物产量。
403,雇佣农夫(Lv.3),4,3,3,4210|20,1,雇佣大量农夫，增加作物产量。
501,酿酒技艺(Lv.1),5,1,3,1100|30;2104|20,5,制造大酒桶，提高产量。
502,酿酒技艺(Lv.2),5,2,3,4101|50;4104|50;4100|50,5,改善配方，提高产量。
503,酿酒技艺(Lv.3),5,3,3,4200|200,1,雇佣酿酒工人。
601,射术(Lv.1),6,1,5,3304|5,1,提高10点远程伤害。
602,射术(Lv.2),6,2,5,3304|10,1,提高20点远程伤害。
603,射术(Lv.3),6,3,5,3304|15,1,提高30点远程伤害。
604,射术(Lv.4),6,4,5,3304|20,1,提高40点远程伤害。
605,射术(Lv.5),6,5,5,3304|25,1,提高5%远程命中率。
701,格斗技巧(Lv.1),7,1,5,3302|5,1,提高10点近战伤害。
702,格斗技巧(Lv.2),7,2,5,3302|10,1,提高20点近战伤害。
703,格斗技巧(Lv.3),7,3,5,3302|15,1,提高30点近战伤害。
704,格斗技巧(Lv.4),7,4,5,3302|20,1,提高40点近战伤害。
705,格斗技巧(Lv.5),7,5,5,3302|25,1,提高5%近战命中率。
801,法术研究(Lv.1),8,1,3,3305|10,1,提高10%法术伤害。
802,法术研究(Lv.2),8,2,3,3305|30,1,提高20%法术伤害。
803,法术研究(Lv.3),8,3,3,3305|50,1,提高30%法术伤害。
1001,灵魂抵抗(Lv.1),10,1,2,2202|10;2400|10,5,降低20%法术消耗。
1002,灵魂抵抗(Lv.2),10,2,2,2202|30;2400|30,10,降低60%法术消耗。
1101,胡萝卜大棒(Lv.1),11,1,3,4102|10;100|10,5,增加10%捕获宠物的成功率。
1102,胡萝卜大棒(Lv.2),11,2,3,4102|20;101|8,5,增加20%捕获宠物的成功率。
1103,胡萝卜大棒(Lv.3),11,3,3,4102|50;108|5,5,增加30%捕获宠物的成功率。
1201,伪装(Lv.1),12,1,2,2105|10;2108|10,4,降低25%捕猎时被发现的概率。
1202,伪装(Lv.2),12,2,2,2105|30;2108|30,6,降低50%捕猎时被发现的概率。
1301,制图学,13,1,1,404|100,12,增加新地图探索的速度。
1401,地牢绘制,14,1,1,404|50;3402|10,5,可以定位到上次地牢探索的位置。
1501,制造学徒(Lv.1),15,1,3,2200|30;2201|30,2,降低20%制造物品的时间。
1502,制造高手(Lv.2),15,2,3,2300|40;2301|40,4,降低40%制造物品的时间。
1503,制造大师(Lv.3),15,3,3,2400|20;2401|20;2402|20,8,降低60%制造物品的时间。
1601,厨艺提升(Lv.1),16,1,3,4102|10,2,降低20%烹饪时间并有几率获得额外食物。
1602,厨艺提升(Lv.2),16,2,3,4102|30,4,降低40%烹饪时间并有几率获得额外食物。
1603,厨艺提升(Lv.3),16,3,3,4102|100,8,降低60%烹饪时间并有几率获得额外食物。
1701,建造循环水(Lv.1),17,1,2,1100|20;1101|30,5,增加水井20%的收集速度。
1702,改良水系统(Lv.2),17,2,2,404|50;4200|120,10,增加水井40%的收集速度。
